Address,Owner Name,Owner Company Name,Owner Phone,Owner email,Business Name,Business Phone,Business Email,Property Type
"97 Wythe Avenue, NYC, New York, 11249",Ennismore and Sydell Group,Not Found,Not Found,Not Found,The Hoxton Williamsburg,(718) 215-7100,hello.williamsburg@thehoxton.com,Hotel
"80 Wythe Ave, Brooklyn, New York, 11249",Peter Lawrence,Wythe Hotel,718-460-8000,info@wythehotel.com,Wythe Hotel,718-460-8000,info@wythehotel.com,Hotel
"96 Wythe Ave, Brooklyn, NY 11249, Brooklyn, New York, 11249",96 Wythe Acquisition LLC,Not Found,Not Found,Not Found,Arlo Williamsburg,(718) 362-8100,hellowilliamsburg@arlohotels.com,Hotel
"95 West Broadway, New York, New York, 10007",95 West Broadway Holdings LLC,Not Found,Not Found,Not Found,The Frederick Hotel,(212) 566-1900,CosmoRes@triumphny.com,Hotel
"210 W 55th St, New York, New York, 10019",Dream Hotel Group,Dream Hotel Group,212-247-2000,Not Found,Dream Midtown Hotel,212-247-2000,Not Found,Hotel
"361 Bedford Ave, Brooklyn, New York, 11211",Lightstone Group,Not Found,Not Found,Not Found,Moxy Brooklyn Williamsburg,Not Found,Not Found,Hotel
"210 WEST 55 STREET, NEW YORK, New York, 10019",Sant Singh Chatwal,Dream Hotel Group,Not Found,Not Found,Dream Midtown Hotel,(212) 247-2000,Not Found,Hotel
"189 Bowery Street, New York, New York, 10002",Rinaldi Group,Not Found,(201) 601-4065,Not Found,CitizenM New York Bowery,(212) 372-7274,Not Found,Hotel
"405 East 73rd Street, New York, New York, 10021",Ronald McDonald House,Ronald McDonald House Charities New York,Not Found,Not Found,Ronald McDonald House,Not Found,Not Found,Hotel
"1170 Broadway, New York City, New York, 10001",Not Found,Not Found,Not Found,Not Found,The Ned NoMad,212-722-0555,Not Found,Hotel
"180 Ludlow st, New York, New York, 10002",BD Hotels,Not Found,Not Found,Not Found,The Ludlow Hotel,212-432-1818,info@ludlowhotel.com,Hotel
"712 7th Avenue, New York, New York, 10036",Not Found,Not Found,Not Found,Not Found,New York Iconic Tours,800-299-4412,Not Found,Hotel
"252-260 West 40th Street, New York, New York, 10018",OTO Development,OTO Development,Not Found,Not Found,AC Hotel New York Times Square,+1 212-398-2700,Not Found,Hotel
"503 Canal Street, New York, New York, 10013",Ponte Equities,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Hotel
"75 NORTH 11 STREET, Brooklyn, New York, 11249",WYTHEHOTEL LLC,Not Found,Not Found,Not Found,Wythe Hotel,Not Found,Not Found,Hotel
"147 Mercer Street, New York, New York, 10012",BD Hotels,BD Hotels,+1 (212) 966-6060,Not Found,The Mercer Hotel,+1 (212) 966-6060,[email protected],Hotel
"299 Madison Ave, New York, New York, 10017",299 Madison Hotel LLC,Not Found,Not Found,Not Found,Library Hotel,+1 (212) 983-4500,info@libraryhotel.com,Hotel
"60 THOMPSON STREET, Manhattan, New York, 10012",Standard International,Not Found,Not Found,Not Found,Sixty SoHo Hotel,+1 (212) 431-0400,Not Found,Hotel
"209 WEST 87TH STREET, New York, New York, 10024",Not Found,Not Found,Not Found,Not Found,The Belnord Hotel,+1 (212) 873-5222,Not Found,Hotel
"124 EAST 66 STREET, New York, New York, 10065",Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Hotel
"112 East 11th Street, New York, New York, 10003",US-DEV ASSOCIATES LLC,Not Found,Not Found,info@moxyeastvillage.com,Moxy East Village,(212) 288-6699,info@moxyeastvillage.com,Hotel
"220-33 NORTHERN BLVD, NEW YORK, New York, 11361",Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Hotel
"196 Grand St, New York, New York, 10013",196 GRAND LLC,Not Found,Not Found,Not Found,NobleDEN Hotel,(212) 390-8988,contact@nobleden.com,Hotel
"30 Kenmare St, New York, NY 10012, New York, New York, 10012",Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Hotel
"60 E. 54th St., New York, New York, 10022","ELYSEE HOTEL, LLC","ELYSEE HOTEL, LLC",(212) 753-1066,Not Found,Hotel Elysee,(212) 753-1066,[email protected],Hotel
"31 West 71 Street, New York, New York, 10023",James Martinez,Wyndham Hotels & Resorts,(212) 791-9451,james_martinez@choicehotels.com,La Quinta Inn & Suites by Wyndham New York City Central Park,(212) 791-9451,info@iatan.org,Hotel
"220-33 Northern Blvd, Queens, New York, 11361",Not Found,Not Found,Not Found,Not Found,Best Western Queens Gold Coast,(718) 631-4900,Not Found,Hotel
"79 Crosby Street, New York, New York, 10012",Firmdale Hotels,Firmdale Hotels,+1 (212) 226 6400,crosby@firmdale.com,Crosby Street Hotel,+1 (212) 226 6400,crosby@firmdale.com,Hotel
"252 W 40th Street, New York, New York, 10018",OTO Development,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Hotel
"33 W 37th St, New York, New York, 10018",Majestic Hotel Corp.,Not Found,Not Found,Not Found,The Strand Hotel,(212) 302-7103,info@hudsonmeridian.com,Hotel
"205 WEST 40 STREET, New York, New York, 10018",Ac Mvts Holdco Llc,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Hotel
"211 WEST 101ST STREET, New York, New York, 10025",FRANT HOTEL LLC,FRANT HOTEL LLC,(212) 864-7400,Not Found,Frant Hotel,(212) 864-7400,Not Found,Hotel
"22 MILFORD STREET, Brooklyn, New York, 11208",Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Manufacturing / Industrial Plant
"242 GREEN STREET, Brooklyn, New York, 11222",Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Manufacturing / Industrial Plant
"4435 Victory Boulevard, Staten Island, New York, 10314",Not Found,Not Found,Not Found,Not Found,Visy Paper,718-370-1114,Not Found,Manufacturing / Industrial Plant
"56-20 59th Street, Maspeth, New York, 11378",WRV 56 ST LLC,Not Found,Not Found,Not Found,Alle Processing Corporation,(718) 894-2000,Not Found,Manufacturing / Industrial Plant
"58-80 59 STREET, QUEENS, New York, 11378",Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Manufacturing / Industrial Plant
"959 ESSEX ST, BROOKLYN, New York, 11208",Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Manufacturing / Industrial Plant
"781 East 133rd Street AKA 780 East 134th Street, Bronx, New York, 10454",Bldg Management,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Manufacturing / Industrial Plant
"112-02 15 AVENUE, Queens, New York, 11356",PEPSI COLA BOTTLING COMPANY OF NEW YORK,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Manufacturing / Industrial Plant
"970 Shepherd Ave, Brooklyn, New York, 11208",Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Manufacturing / Industrial Plant
"2570 Whitestone Expressway, Flushing, New York, 11354",Queens Housing and Immigrant Center Corporation,Not Found,347-208-6269,andrea_alexopoulos@aafe.org,Not Found,Not Found,Not Found,Manufacturing / Industrial Plant
"171 WALWORTH STREET, Brooklyn, New York, 11205",Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Manufacturing / Industrial Plant
"1700 Bathgate Ave, Bronx, New York, 10457",Perrigo Company,Perrigo Company,718-901-2800,Not Found,Perrigo Company,718-901-2800,Not Found,Manufacturing / Industrial Plant
"155 Food Center Dr., Bronx, New York, 10474",Michael Muzyk,Baldor Specialty Foods Inc,(718) 860-9100,michael@baldorfood.com,Baldor Specialty Foods,(718) 860-9100,michael@baldorfood.com,Manufacturing / Industrial Plant
"156 Sanford Street, Brooklyn, New York, 11205",Van Blarcom Closures Inc,Van Blarcom Closures Inc,718-855-3810,Not Found,Van Blarcom Closures Inc,718-855-3810,Not Found,Manufacturing / Industrial Plant
"630 Flushing Avenue, Brooklyn, New York, 11206",ACP BK 1 LLC,ACP BK 1 LLC,(718) 360-9501,Not Found,"Bushwick Kitchen, LLC",(917) 297-1045,Not Found,Manufacturing / Industrial Plant
"116 39th Street, Brooklyn, New York, 11232",Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Manufacturing / Industrial Plant
"123 Varrick Ave, Brooklyn, New York, 11237",Not Found,Not Found,Not Found,Not Found,Eastern Waste of New York,718-821-5289,Not Found,Manufacturing / Industrial Plant
"2111 RICHMOND TERRACE, Staten Island, New York, 10302",Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Manufacturing / Industrial Plant
"5401 1st Ave, Brooklyn, New York, 11220",George Goldberg,E & G Plastics Corp,(718) 238-2133,Not Found,E G Plastics Inc,(718) 238-2133,Not Found,Manufacturing / Industrial Plant
"1776 HOE AVENUE, Bronx, New York, 10460",Mega Contracting Group,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Manufacturing / Industrial Plant
"5700 Avenue D, Brooklyn, New York, 11203",Meiloch Wislicki,Sgfw Bakers Inc.,(718) 388-4031,Not Found,Beigel's Bakery,(718) 388-4031,Not Found,Manufacturing / Industrial Plant
"112-07 14th Ave, College Point, New York, 11356","VISTA CATHEDRAL, LLC",Not Found,Not Found,Not Found,Precision Gear Inc,718-321-7200,Not Found,Manufacturing / Industrial Plant
"2025 ATLANTIC AVENUE, BROOKLYN, New York, 11233",Tower Isle's Frozen Foods Ltd.,Tower Isle's Frozen Foods Ltd.,718-495-2626,Not Found,Tower Isle's Frozen Foods Ltd.,718-495-2626,Not Found,Manufacturing / Industrial Plant
"96-03 Beach Channel Drive, Queens, New York, 11693",Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Manufacturing / Industrial Plant
"18-35 Steinway place, Long Island City, New York, 11105",Carole White,18-35 Steinway Place Inc.,Not Found,Not Found,White Coffee Corporation,(718) 204-7900,Not Found,Manufacturing / Industrial Plant
"300 Vandervoort Avenue, Brooklyn, New York, 11211",Albert Chan,Prime Food Processing Corp.,(718) 963-2323,Not Found,Prime Food Processing Corp.,(718) 963-2323,Not Found,Manufacturing / Industrial Plant
"3714 29th Street, Queens, New York, 11101",M T C MACHINE,Not Found,Not Found,Not Found,Kerns Manufacturing Corporation,718-784-5800,info@kernsmfg.com,Manufacturing / Industrial Plant
"37-14 29th Street, New York, New York, 11101",M T C MACHINE,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Manufacturing / Industrial Plant
"660 12th Ave, New York, New York, 10019",Bay Ridge Automotive Group,Not Found,Not Found,Not Found,The Glasshouse,212-242-7800,[email protected],Manufacturing / Industrial Plant
"1 Steinway Place, Queens, New York, 11105",Benjamin Steiner,"Steinway & Sons, Inc.",(718) 721-2600,Not Found,Steinway & Sons,(718) 721-2600,info@steinway.com,Manufacturing / Industrial Plant
"827 East 92nd St, Brooklyn, New York, 11236",Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Manufacturing / Industrial Plant
"25 Hooper Street, Brooklyn, New York, 11249",Ultimate Care,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Manufacturing / Industrial Plant
"144-11 91st Avenue, Jamaica, New York, 11435",Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Manufacturing / Industrial Plant
"2203 Neptune Ave, Brooklyn, New York, 11224",Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Manufacturing / Industrial Plant
"317 GLENMORE AVENUE, Brooklyn, New York, 11207",Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Manufacturing / Industrial Plant
"1261 Seabury Avenue, Bronx, New York, 10462",David Grogan,Grogan Realty LLC,(718) 863-0574,Not Found,Sweet Sam's Baking Company,(718) 822-0599,Not Found,Manufacturing / Industrial Plant
"780 EAST 138 STREET, Bronx, New York, 10454",Not Found,Not Found,Not Found,Not Found,U-Haul Moving & Storage of Port Morris,Not Found,Not Found,Manufacturing / Industrial Plant
"909 REMSEN AVENUE, Brooklyn, New York, 11236",Adar YM Holdings LLC,Not Found,Not Found,Not Found,M Fried Store Fixtures Inc,(718) 624-2999,info@mfried.com,Manufacturing / Industrial Plant
"420 MORGAN AVENUE, Brooklyn, New York, 11222","Jos. H. Lowenstein & Sons, Inc.",Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Manufacturing / Industrial Plant
"536 WEST 23 STREET, Manhattan, New York, 10011",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Manufacturing / Industrial Plant
"101 53rd Street, Brooklyn, New York, 11232",Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Manufacturing / Industrial Plant
"8039 PRESTON COURT, Brooklyn, New York, 11236",I.J. Litwak Realty Limited Partnership,Not Found,Not Found,Not Found,A+ Buses Inc.,Not Found,Not Found,Manufacturing / Industrial Plant
"667 Kent Avenue, Brooklyn, New York, 11249",N A P Industries Inc.,N A P Industries Inc.,718-625-4948,Not Found,N A P Industries Inc.,718-625-4948,Not Found,Manufacturing / Industrial Plant
"5701 Foster Avenue, Brooklyn, New York, 11234",Yosef Sternberg,Not Found,Not Found,Not Found,The Network,(718) 451-2211,Not Found,Manufacturing / Industrial Plant
"54 MEADOW STREET, Brooklyn, New York, 11206",Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Manufacturing / Industrial Plant
"131-27 FOWLER AVENUE, Queens, New York, 11355",HAI GROUP LLC,Not Found,Not Found,Not Found,Bodhi Meditation,Not Found,Not Found,Manufacturing / Industrial Plant
"305 Johnson Ave Brooklyn NY 11206, Lawrence Township, New York, 11206",Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Manufacturing / Industrial Plant
"35-50 Hunters Point Ave, Long Island City, New York, 11101",Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Manufacturing / Industrial Plant
"2702 WEST 15 STREET, BROOKLYN, New York, 11224",Natalia Orlova,"Global Trade House, Inc",Not Found,Not Found,Not Found,Not Found,Not Found,Manufacturing / Industrial Plant
"49-01 MASPETH AVENUE, MASPETH, New York, 11378",J&J MASPETH OWNER LLC,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Manufacturing / Industrial Plant
"808 ALABAMA AVENUE, BROOKLYN, New York, 11207",AC&C LLC,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Manufacturing / Industrial Plant
"56-75 49th St, Queens, New York, 11378",Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Manufacturing / Industrial Plant
"5601 First Avenue, Brooklyn, New York, 11220",5601 REALTY LLC,Not Found,(718) 567-7778,Not Found,Southern Telecom Inc,(718) 567-7778,Not Found,Manufacturing / Industrial Plant
"24-60 47 STREET, Queens, New York, 11103",Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Manufacturing / Industrial Plant
"1002 ESSEX STREET, BROOKLYN, New York, 11208",Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Manufacturing / Industrial Plant
"25-48 50th Avenue, Queens, New York, 11101",25-16 AVENUE ASSOCIAT,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Manufacturing / Industrial Plant
"398 Morgan Ave, Brooklyn, New York, 11211",Not Found,Not Found,Not Found,Not Found,Sun King Produce Corporation,(718) 388-6628,Not Found,Manufacturing / Industrial Plant
"978 Essex Street, Brooklyn, New York, 11208",Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Manufacturing / Industrial Plant
"151 Sanford Street, Brooklyn, New York, 11205",Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Manufacturing / Industrial Plant
"1 Nassau Ave, Brooklyn, New York, 11222",Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Manufacturing / Industrial Plant
"1 Nassau Avenue, Brooklyn, New York, 11222",Not Found,Not Found,Not Found,Not Found,American Metal Stamping,(718) 384-1500,Not Found,Manufacturing / Industrial Plant
"101 COMMERCE STREET, BROOKLYN, New York, 11231",Not Found,Not Found,Not Found,Not Found,Contractor Materials & Cabinets Inc,718-237-5953,Not Found,Manufacturing / Industrial Plant
"105-15 180th Street, Queens, New York, 11433",Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Manufacturing / Industrial Plant
"112-02 15th Ave, College Point, New York, 11356",Not Found,Not Found,Not Found,Not Found,Pepsi-Cola Bottling Group,(718) 392-1000,Not Found,Manufacturing / Industrial Plant
"112-20 14th ave, College Point, New York, 11356",Not Found,Not Found,Not Found,Not Found,Backflow Prevention of NY,718-460-4600,info@rpzny.com,Manufacturing / Industrial Plant
"120 EAST 144 STREET, BRONX, New York, 10451",Beitel Group,Beitel Group,Not Found,Not Found,Not Found,Not Found,Not Found,Manufacturing / Industrial Plant
"1215 Spofford Ave, Bronx, New York, 10474",Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Manufacturing / Industrial Plant
"12th Ave at West 59th St, New York, New York, 10019",Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Manufacturing / Industrial Plant
"144-162 Pilling St, Brooklyn, New York, 11207",Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Manufacturing / Industrial Plant
"156 44th Street, Brooklyn, New York, 11232",FLEX REALTY HOLDINGS,Not Found,Not Found,Not Found,Hitmark Republic Incorporated,718-369-2277,Not Found,Manufacturing / Industrial Plant
"1701 Bathgate Ave, Bronx, New York, 10457",Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Manufacturing / Industrial Plant
"18-39 41st Street, Astoria, New York, 11105",Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Manufacturing / Industrial Plant
"209 East 138 Street, New York, New York, 10451",Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Manufacturing / Industrial Plant
"22-14 40th Ave, Long Island City, New York, 11101",Not Found,Not Found,Not Found,Not Found,Unik Jewelry Corp,(718) 786-7499,Not Found,Manufacturing / Industrial Plant
"2615 W 13th St, Brooklyn, New York, 11223",Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Manufacturing / Industrial Plant
"32-36 47th Avenue, Queens, New York, 11101",3300 PROPERTY LP,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Manufacturing / Industrial Plant
"363-385 Rider Ave, Bronx, New York, 10451",Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Manufacturing / Industrial Plant
"373 Rider Ave, Bronx, New York, 10451",Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Manufacturing / Industrial Plant
"375 Rider, Bronx, New York, 10451",CANAL/RIDER L.L.C.,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Manufacturing / Industrial Plant
"3915 1st Avenue, Brooklyn, New York, 11232",19-20 Bush Terminal Owner LP,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Manufacturing / Industrial Plant
"4000 3rd Ave., Bronx, New York, 10457",Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Manufacturing / Industrial Plant
"4105 Avenue H, Brooklyn, New York, 11210",Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Manufacturing / Industrial Plant
"4362 Park Avenue, Bronx, New York, 10457",Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Manufacturing / Industrial Plant
"4366 Park Avenue, Bronx, New York, 10457",United Pickle Products Corp,United Pickle Products Corp,(718) 933-6060,Not Found,United Pickles,(718) 933-6060,Not Found,Manufacturing / Industrial Plant
"47-28 37TH STREET, LONG ISLAND CITY, New York, 11101",Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Manufacturing / Industrial Plant
"47-30 Dutch Kills St &amp; 47-60 29th St, Queens, New York, 11101",Broadway Stages,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Manufacturing / Industrial Plant
"472 Van Brunt St, Brooklyn, New York, 11231",RED HOOK STORES,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Manufacturing / Industrial Plant
"476-480 Austin Place, Bronx, New York, 10455",Austin Property Corp,Austin Property Corp,Not Found,Not Found,Interior Wall Designs,718-993-5120,sales@interiorwalldesignsny.com,Manufacturing / Industrial Plant
"48-25A and 48-25B Metropolitan Avenue, Queens, New York, 11385",Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Manufacturing / Industrial Plant
"480 Van Brunt St, Brooklyn, New York, 11231",RED HOOK STORES,Not Found,Not Found,Not Found,Food Bazaar,718-254-0923,Not Found,Manufacturing / Industrial Plant
"5219 Flushing Ave, Queens, New York, 11378",DCD NY PROPERTIES LLC,Not Found,Not Found,Not Found,Knockdown Center,+1 (347) 915-5615,info@knockdown.center,Manufacturing / Industrial Plant
"550 Food Center Dr., Bronx, New York, 10474",Anheuser-Busch Co,Anheuser-Busch InBev,(800) 640-4040,Not Found,Anheuser-Busch Sales,(347) 493-8660,Not Found,Manufacturing / Industrial Plant
"59-20 56th AVE, Maspeth, New York, 11378",Vichai Charalaivan,Not Found,Not Found,Not Found,Hi-Tech Metals,(718) 894-1212,info@hi-techmetals.com,Manufacturing / Industrial Plant
"69-07 69th place, Glendale, New York, 11385",Not Found,Not Found,Not Found,Not Found,"Xpress Distribution, Inc.",Not Found,Not Found,Manufacturing / Industrial Plant
"738 Chester Street AKA 723 Bristol Street, Brooklyn, New York, 11236",Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Manufacturing / Industrial Plant
"763 3 AVENUE, Brooklyn, New York, 11232","RIVERVIEW NEW YORK, L",Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Manufacturing / Industrial Plant
"841 63 Street, Brooklyn, New York, 11220",BFL Equities Ltd,Not Found,347-662-6241,Not Found,Easy 63 N Fashion Inc,Not Found,Not Found,Manufacturing / Industrial Plant
"8805 18th Avenue, Brooklyn, New York, 11214",Joseph Weksler,Not Found,Not Found,Not Found,Bruce Supply Corporation,718-259-4900,Not Found,Manufacturing / Industrial Plant
"885 SHEPHERD AVENUE, BROOKLYN, New York, 11208",SIT REALTY LLC,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Manufacturing / Industrial Plant
"892 Dean st, Brooklyn, New York, 11238",Not Found,Not Found,Not Found,Not Found,Yuan Da Trading,(718) 623-1800,Not Found,Manufacturing / Industrial Plant
"92-03 Corona Ave, Queens, New York, 11373",Not Found,Not Found,Not Found,Not Found,Flea Market,718-533-1217,Not Found,Manufacturing / Industrial Plant
"46-05 56th Road, Queens, New York, 11378",Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Non-Refrigerated Warehouse
"2403 Third Ave, Bronx, New York, 10451",Donna Shavolian Hedvat,Not Found,Not Found,Not Found,Beethoven Pianos,(718) 585-9182,Not Found,Non-Refrigerated Warehouse
"650 BRUSH AVENUE, Bronx, New York, 10465","NY Brush, LLC","NY Brush, LLC",Not Found,Not Found,Buhre Beverage Distributing,(718) 518-0044,Not Found,Non-Refrigerated Warehouse
"1601 BRONXDALE AVENUE, Bronx, New York, 10462",1601 BRONXDALE PROPERTY OWNER LLC,Not Found,Not Found,Not Found,New York Sports Clubs,Not Found,Not Found,Non-Refrigerated Warehouse
"2350 Lafayette Ave., Bronx, New York, 10473",2350 Lafayette Avenue LLC,2350 Lafayette Avenue LLC,718-863-1342,Not Found,Nysco Products Inc,718-792-9000,info@nysco.com,Non-Refrigerated Warehouse
"12 Hall Street, Brooklyn, New York, 11205",Hk Organization LLC,Not Found,Not Found,Not Found,iStoreGreen,(718) 855-3636,inquiry@hallstreet3pl.com,Non-Refrigerated Warehouse
